Agent_ID,Gender,Total_Kids,Status,Cause_of_Death,Year_of_Death,Final_Savings,Final_Energy,Unique_Regions_Visited,W0_Energy_Weight,W2_Density_Weight
51,M,0,Dead,Starvation / Exhaustion,4,104.73,0,3,-0.8255645437266033,2.831835912295669
207,F,0,Dead,Socio-Economic Disease Roll,27,141.49,90,1,-0.6658852899213578,1.855369001939691
229,M,0,Dead,Socio-Economic Disease Roll,28,73.53,90,1,-0.7252541434917132,1.8613983522622877
13,F,0,Dead,Starvation / Exhaustion,4,57.0,0,3,-0.6726002394634779,2.761321415430947
102,F,0,Dead,Starvation / Exhaustion,4,19.22,0,3,-0.5845578176989055,2.2817569538192863
76,M,0,Dead,Socio-Economic Disease Roll,3,36.25,90,2,-0.8815824552032607,1.5609960521960984
117,F,1,Dead,Socio-Economic Disease Roll,8,110.81,21,2,-0.25856586202596255,1.483242354781356
149,M,2,Dead,Socio-Economic Disease Roll,23,100.91,35,3,-0.533822017444029,2.4156501814369116
58,F,3,Dead,Biological Limit (Old Age),29,233.88,40,2,-0.7801367502628026,2.2134184800803505
28,F,0,Dead,Starvation / Exhaustion,4,96.7,0,3,-0.9009713325947839,2.8777426572035103
212,F,0,Dead,Socio-Economic Disease Roll,28,198.71,90,1,-0.701511715366771,1.8986507258195604
34,M,0,Dead,Starvation / Exhaustion,4,26.25,0,3,-1.04080316381101,2.6298735370640927
44,F,1,Dead,Socio-Economic Disease Roll,3,25.48,20,2,-0.6684308863060314,2.1732673878459727
220,F,0,Dead,Socio-Economic Disease Roll,27,125.01,90,1,-0.741744773989217,1.9849757893284492
112,F,1,Dead,Socio-Economic Disease Roll,5,7.2,30,2,-0.49654667953317655,2.4938020724038017
92,F,0,Dead,Starvation / Exhaustion,4,23.48,0,3,-0.9704630610519239,2.244739500966478
41,F,0,Dead,Starvation / Exhaustion,21,2.3,0,3,-0.6097188845339566,2.3773823800942537
150,F,0,Dead,Socio-Economic Disease Roll,16,128.35,90,1,-0.9150179646034746,1.7766069253001113
31,F,4,Dead,Biological Limit (Old Age),23,435.74,40,3,-0.6697310639009075,1.5956268984956226
